Model,distance,SNR,mcs_choice
2,21.2672,21.5981,5
5,30.8082,9.84369,1
4,6.80747,18.2721,3
1,33.4594,20.3267,7
4,13.5838,17.3976,2
3,26.6448,13.9044,3
5,20.3655,17.4183,3
3,11.2787,17.2984,4
4,11.2401,10.1005,1
3,29.0081,23.4795,7
3,9.9488,6.6198,1
6,21.8881,7.7431,1
6,18.5771,17.4627,3
4,12.556,25.0132,4
1,7.80037,11.2709,3
6,10.0139,16.8277,3
4,21.6869,26.4373,5
4,19.8566,24.5641,4
4,24.7518,10.2569,1
2,33.9131,16.9432,4
2,24.4466,12.3282,3
2,18.9435,27.9284,6
5,12.2255,17.249,3
1,9.89682,16.399,5
1,24.2972,20.3418,7
6,15.4689,19.5516,3
5,25.6061,20.9776,3
3,20.061,10.2422,1
3,25.1025,10.8365,2
6,15.2784,14.9991,3
2,26.7659,3.64517,0
2,9.94612,19.7576,5
5,21.1469,13.7898,1
4,8.09193,20.0266,4
1,10.7898,8.62681,2
3,11.1855,21.9305,5
4,21.2488,20.7117,3
4,28.8892,13.4014,1
3,25.4088,19.1308,4
5,10.9219,16.4504,3
2,5.1884,9.9292,0
5,12.8983,20.5474,4
5,16.0095,14.7833,3
5,11.0689,26.1585,6
5,23.0598,20.2534,3
3,12.5601,1.5063,0
3,5.2922,2.4371,0
5,7.7538,0,0
3,25.9447,0,0
3,33.3929,0,0
5,15.0439,8.88755,1
4,14.9661,10.1976,1
1,16.1851,8.58265,2
2,33.0999,4.90772,0
4,32.0068,0,0
4,32.5082,1.14191,0
6,32.845,0,0
5,29.683,0,0
2,21.931,0,0
2,8.7723,0,0
5,6.1952,0,0
4,27.784,2.86147,0
3,30.1319,4.08348,1
1,6.7916,0,1
4,16.796,0,0
4,15.8843,0,0
1,33.67,9.28984,2
2,32.251,0,0
3,29.6007,4.80224,1
2,31.7304,0,0
2,22.0739,0,0
2,25.9421,0,0
2,16.3796,0,0
2,8.4779,0,0
2,5.3351,0,0
4,6.2203,0,0
4,33.7365,0,0
5,28.9751,0,0
5,19.2246,6.7239,1
5,13.159,0,0
4,18.6454,0,0
4,29.3726,0,0
4,23.1884,0,0
4,30.3746,4.79603,0
1,33.4831,8.91819,2
2,26.5897,0,0
5,22.1764,0,0
1,28.9526,0,0
3,28.5589,0,0
3,19.6698,5.62365,1
5,9.6739,0,0
4,32.8975,0,0
3,16.4583,6.33523,1
4,23.6869,3.27873,0
3,14.974,0,0
2,19.8611,0,0
6,12.8514,4.25831,0
4,23.7172,0,0
2,31.4758,0,0
1,28.0777,8.12327,2
2,13.1957,0,0
3,17.1431,6.07119,1
6,6.3481,6.137,0
6,7.4731,4.4366,0
5,26.5621,0,0
3,10.9723,0,0
4,23.3467,5.96999,1
5,18.3691,2.89364,0
3,24.3418,0,0
2,23.0089,0,0
1,28.0553,0,0
4,32.9549,0,0
3,7.782,2.3519,0
1,12.759,0,0
5,6.5896,0,0
2,6.782,0,0
3,5.7362,0,0
5,14.5877,3.51521,0
4,28.6056,0,0
1,28.9657,0,0
5,24.585,0,0
2,19.2545,0,0
2,29.6097,0,0
5,15.7059,0,0
6,11.9089,0,0
4,29.562,0,0
5,14.0845,0,0
2,27.0076,0,0
3,24.8631,2.99039,0
3,12.5276,0,0
5,31.7516,5.35292,0
4,23.2523,4.39963,0
6,13.3903,8.80019,1
1,17.3341,0,0
4,27.663,0,0
